k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.0) G1(z=2.0) G1(z=3.0)
2.2525190216018127 1.1145997525440077 1.449966089715683 1.765164696429184 2.23032770091012 2.1748090448888746
2.2832892553799526 0.930362394475438 1.3987488702514308 1.708903136685356 2.219010598218474 2.1979214280015347
2.3139375263725728 1.0710219234908225 1.3938590624080103 1.7243702403272034 2.1917868816815202 2.1912890991403686
2.344605724868078 1.0909156711172996 1.3667073452102314 1.7487068315583147 2.1843592577116673 2.204542919577781
2.375184477138245 1.0374961672595917 1.3246983893501811 1.6730116231536236 2.148749573289445 2.237174874637507
2.4057246673293573 0.9924083551638985 1.3489910861226218 1.7389557715877193 2.2008860399701695 2.2068126164515682
2.4363448113806334 1.1085986294253847 1.4237120541476729 1.6344326134393776 2.1974926047348466 2.2190792224239377
2.466913116374169 1.1160627896613684 1.3532924485403968 1.635705365017937 2.2085984570409565 2.2430146471215093
2.4975563657518705 1.0654382075417224 1.3410073358047685 1.5733040573950938 2.187104432919429 2.2296245375611434
2.5284007482199686 0.992711418653448 1.3430847604931837 1.5626013864321138 2.224115689722314 2.2462036368188025
2.5590890072444137 1.0892897347304753 1.2940365904435356 1.5708529157981537 2.1882363367489432 2.258981754740057
2.5896806116806927 1.0248929509624605 1.3493472120860481 1.6390837736820398 2.1497837431354547 2.245026567013315
2.6203466014530283 0.9086516757558161 1.3544235883158633 1.5235805017176325 2.147252240109159 2.2616137241860748
2.651080912702199 0.9638037614213313 1.3194526097917032 1.5527091716134547 2.1989320080702375 2.261194608777312
2.6817126062011036 0.9303307283499063 1.2533976912668168 1.5693151158210719 2.2265024431269187 2.2713389539288826
2.712165630681784 0.816907082644277 1.2752428187038762 1.592993064087775 2.2496379967005176 2.2571010336615407
2.742858123723105 0.9315680275927407 1.202699838286148 1.5116260031601079 2.2245964184512834 2.2634665106981497
2.7736726388980055 0.8959513453617607 1.2429643716817256 1.471279705896075 2.1676937283277353 2.3047960972932415
2.804302820655223 0.8881203672581439 1.178549455993597 1.4501235621748625 2.17955422385222 2.2957378554609544
2.834917291331422 0.9074299569783717 1.2797207598255953 1.4515378936615901 2.2311611942915848 2.2699475074893547
2.8655716015120105 0.9026638330569026 1.1851662283919993 1.5027024699536415 2.2143867402538397 2.3078750817236298
2.8962234584307502 0.8895059870354283 1.1077233644629971 1.433171046374892 2.2152912609056705 2.305237736927667
2.926854426156121 0.8438390612470514 1.0795432705888084 1.382890528637752 2.220047702085963 2.337614893905007
2.9574052944139524 0.8480980329679444 1.166788878612147 1.4154882657214047 2.16704228163415 2.3234324857742097
2.988052750977282 0.815846114314629 1.057390029207809 1.3940360309399868 2.1481499941917557 2.3677861657672308
3.0188472943690257 0.8369694894507285 0.9950005305719927 1.3724819482654294 2.1514814226001464 2.324971882398957
3.0494771089447283 0.9469319741430338 1.0180864289595624 1.3683102067299697 2.2078791953843515 2.335893321500656
3.080017421889951 0.9138077317600335 1.01566117343459 1.3363489368079544 2.189573346361109 2.3445181072712247
3.110744872777335 0.8293726725337025 0.9965451059952459 1.3823764779638195 2.180692451932951 2.3034564262401447
3.141421084586624 0.8211213551311203 0.9868976414221248 1.3492681827053379 2.153064786073947 2.3355381407152804
3.172068628248138 0.8214250760842268 0.9612971442657084 1.307214425553582 2.163639684950663 2.3252377417209216
3.202743839361474 0.7122626292944212 1.0115688966716805 1.3165787499986203 2.190573265959099 2.3681614262431276
3.233377970173499 0.7646346257335712 0.9899322493317688 1.3528398544624358 2.165845523612057 2.3411470489297574
3.2640089695448355 0.8707495886479455 0.9106029198059173 1.3201793567593278 2.1621284866119983 2.3550716421372946
3.2946744222688937 0.7326913065200236 0.8900465703023697 1.3287874021478148 2.149522205959316 2.3552092224742847
